"rk","player","pos","g","xpm","xpa","xp_percent","fgm","fga","fg_percent","pts","pnt","yds","y_p","awards","Team","Year"
2,"Noah Ruggles","K",13,74,74,100,20,21,95.2,134,0,0,NA,NA,"ohio-state",2021
3,"Dominic DiMaccio","K",5,2,2,100,0,0,NA,2,0,0,NA,NA,"ohio-state",2021
1,"Jonah Wieland","P",12,0,0,NA,0,0,NA,0,28,1177,42,NA,"ohio",2021
2,"Jack Wilson","P",11,0,0,NA,0,0,NA,0,19,753,39.6,NA,"ohio",2021
3,"Stephen Johnson","K",11,24,26,92.3,16,23,69.6,72,0,0,NA,NA,"ohio",2021
4,"Tristian Vandenberg","PK",10,3,3,100,0,1,0,3,0,0,NA,NA,"ohio",2021
1,"Tanner Brown","K",14,36,36,100,17,21,81,87,0,0,NA,NA,"oklahoma-state",2021
2,"Tom Hutton","P",14,0,0,NA,0,0,NA,0,72,3056,42.4,NA,"oklahoma-state",2021
3,"Alex Hale","K",6,15,16,93.8,3,6,50,24,0,0,NA,NA,"oklahoma-state",2021
1,"Gabe Brkic","K",13,57,58,98.3,20,26,76.9,117,0,0,NA,NA,"oklahoma",2021
2,"Michael Turk","P",11,0,0,NA,0,0,NA,0,35,1791,51.2,NA,"oklahoma",2021
3,"Zach Schmit","K",4,4,4,100,1,1,100,7,0,0,NA,NA,"oklahoma",2021
1,"Ethan Duane","P",13,0,0,NA,0,0,NA,0,58,2300,39.7,NA,"old-dominion",2021
2,"Nick Rice","K",13,39,41,95.1,20,26,76.9,99,0,0,NA,NA,"old-dominion",2021
1,"Chance Nolan","QB",13,0,0,NA,0,0,NA,0,2,97,48.5,NA,"oregon-state",2021
2,"Everett Hayes","K",13,48,48,100,12,18,66.7,84,0,0,NA,NA,"oregon-state",2021
3,"Luke Loecher","P",13,0,0,NA,0,0,NA,0,31,1459,47.1,NA,"oregon-state",2021
1,"Camden Lewis","K",14,55,56,98.2,13,16,81.3,94,0,0,NA,NA,"oregon",2021
2,"Tom Snee","P",14,0,0,NA,0,0,NA,0,44,1897,43.1,NA,"oregon",2021
1,"Jordan Stout","PK",13,34,36,94.4,16,23,69.6,82,66,3032,45.9,NA,"penn-state",2021
2,"Jake Pinegar","K",2,2,2,100,1,2,50,5,0,0,NA,NA,"penn-state",2021
1,"Ben Sauls","PK",14,2,4,50,0,0,NA,2,0,0,NA,NA,"pittsburgh",2021
2,"kirk Christodoulou","P",14,0,0,NA,0,0,NA,0,61,2523,41.4,NA,"pittsburgh",2021
