"Rk","Player","Pos","G","Cmp","Att","Cmp.","Yds","TD","TD.","Int","Int.","Y.A","AY.A","Y.C","Y.G","Rate","Awards","Team","Year"
1,"Haaziq Daniels","QB",13,40,83,48.2,836,7,8.4,2,2.4,10.1,10.67,20.9,64.3,155.8,NA,"air-force",2022
2,"Ben Brittain","QB",5,1,2,50,80,1,50,0,0,40,50,80,16,551,NA,"air-force",2022
3,"Jensen Jones","QB",7,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"air-force",2022
1,"Demarcus Irons Jr.","QB",10,253,379,66.8,2606,10,2.6,7,1.8,6.9,6.57,10.3,260.6,129.5,NA,"akron",2022
2,"Jeff Undercuffler","QB",7,70,120,58.3,791,5,4.2,5,4.2,6.6,5.55,11.3,113,119.1,NA,"akron",2022
3,"Ryan Jankowski","QB",2,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"akron",2022
1,"Dylan Hopkins","QB",11,136,215,63.3,1913,10,4.7,4,1.9,8.9,8.99,14.1,173.9,149.6,NA,"alabama-birmingham",2022
2,"Jacob Zeno","QB",9,58,102,56.9,721,5,4.9,3,2.9,7.1,6.73,12.4,80.1,126.5,NA,"alabama-birmingham",2022
3,"Ryan Davis","WR",5,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"alabama-birmingham",2022
1,"Bryce Young","QB",12,245,380,64.5,3328,32,8.4,5,1.3,8.8,9.85,13.6,277.3,163.2,"H-6","alabama",2022
2,"Jalen Milroe","QB",8,31,53,58.5,297,5,9.4,3,5.7,5.6,4.94,9.6,37.1,125.4,"","alabama",2022
3,"Ty Simpson","QB",4,4,5,80,35,0,0,0,0,7,7,8.8,8.8,138.8,"","alabama",2022
1,"Chase Brice","QB",12,219,349,62.8,2921,27,7.7,6,1.7,8.4,9.14,13.3,243.4,155.1,NA,"appalachian-state",2022
2,"Ryan Burger","QB",1,4,6,66.7,40,0,0,0,0,6.7,6.67,10,40,122.7,NA,"appalachian-state",2022
3,"Brady McBride","QB",1,2,3,66.7,33,0,0,0,0,11,11,16.5,33,159.1,NA,"appalachian-state",2022
4,"Dashaun Davis","WR",12,1,1,100,17,1,100,0,0,17,37,17,1.4,572.8,NA,"appalachian-state",2022
1,"Emory Jones","QB",8,125,199,62.8,1533,7,3.5,4,2,7.7,7.5,12.3,191.6,135.1,NA,"arizona-state",2022
2,"Trenton Bourguet","QB",7,145,203,71.4,1490,11,5.4,5,2.5,7.3,7.32,10.3,212.9,146,NA,"arizona-state",2022
1,"Jayden De Laura","QB",12,272,435,62.5,3685,25,5.7,13,3,8.5,8.28,13.5,307.1,146.7,NA,"arizona",2022
2,"Noah Fifita","QB",3,9,19,47.4,128,1,5.3,0,0,6.7,7.79,14.2,42.7,121.3,NA,"arizona",2022
3,"Tetairoa McMillan","WR",12,2,2,100,8,0,0,0,0,4,4,4,0.7,133.6,NA,"arizona",2022
4,"Jamarye Joiner","WR",5,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"arizona",2022
1,"James Blackman","QB",11,223,347,64.3,2471,14,4,3,0.9,7.1,7.54,11.1,224.6,135.7,NA,"arkansas-state",2022
2,"AJ Mayer","QB",9,19,39,48.7,214,2,5.1,1,2.6,5.5,5.36,11.3,23.8,106.6,NA,"arkansas-state",2022
