"Rk","Player","Pos","G","Cmp","Att","Cmp.","Yds","TD","TD.","Int","Int.","Y.A","AY.A","Y.C","Y.G","Rate","Awards","Team","Year"
1,"Zachar Larrier","QB",11,40,67,59.7,789,7,10.4,2,3,11.8,12.52,19.7,71.7,187.1,NA,"air-force",2023
2,"Jensen Jones","QB",10,5,15,33.3,160,0,0,1,6.7,10.7,7.67,32,16,109.6,NA,"air-force",2023
3,"John Busha","QB",4,9,19,47.4,152,0,0,1,5.3,8,5.63,16.9,38,104,NA,"air-force",2023
4,"Brandon Engel","WR",11,1,1,100,4,0,0,0,0,4,4,4,0.4,133.6,NA,"air-force",2023
5,"Ben Brittain","QB",4,0,3,0,0,0,0,2,66.7,0,-30,NA,0,-133.3,NA,"air-force",2023
1,"Jeff Undercuffler","QB",10,138,224,61.6,1378,4,1.8,9,4,6.2,4.7,10,137.8,111.1,NA,"akron",2023
2,"Demarcus Irons Jr.","QB",5,88,133,66.2,722,3,2.3,3,2.3,5.4,4.86,8.2,144.4,114.7,NA,"akron",2023
3,"Tahj Bullock","QB",10,32,66,48.5,271,3,4.5,3,4.5,4.1,2.97,8.5,27.1,88.9,NA,"akron",2023
1,"Jacob Zeno","QB",11,279,379,73.6,3126,20,5.3,9,2.4,8.2,8.23,11.2,284.2,155.6,NA,"alabama-birmingham",2023
2,"Landry Lyddy","QB",3,14,22,63.6,121,1,4.5,3,13.6,5.5,0.27,8.6,40.3,97.6,NA,"alabama-birmingham",2023
3,"Harrison Barker","QB",4,6,13,46.2,75,1,7.7,1,7.7,5.8,3.85,12.5,18.8,104.6,NA,"alabama-birmingham",2023
4,"Terrell McDonald","TE",12,1,1,100,55,0,0,0,0,55,55,55,4.6,562,NA,"alabama-birmingham",2023
5,"Trace Campbell","QB",1,4,9,44.4,47,0,0,0,0,5.2,5.22,11.8,47,88.3,NA,"alabama-birmingham",2023
6,"Fred Farrier II","WR",12,1,1,100,28,0,0,0,0,28,28,28,2.3,335.2,NA,"alabama-birmingham",2023
7,"Bryce Damous","TE",12,1,1,100,15,0,0,0,0,15,15,15,1.3,226,NA,"alabama-birmingham",2023
8,"Jermaine Brown Jr.","RB",12,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"alabama-birmingham",2023
1,"Jalen Milroe","QB",13,187,284,65.8,2834,23,8.1,6,2.1,10,10.65,15.2,218,172.2,"H-6","alabama",2023
2,"Ty Simpson","QB",6,11,20,55,179,0,0,0,0,9,8.95,16.3,29.8,130.2,"","alabama",2023
3,"Tyler Buchner","QB",2,8,19,42.1,61,0,0,0,0,3.2,3.21,7.6,30.5,69.1,"","alabama",2023
4,"Dylan Lonergan","QB",1,2,2,100,12,0,0,0,0,6,6,6,12,150.4,"","alabama",2023
1,"Joey Aguilar","QB",14,293,460,63.7,3757,33,7.2,10,2.2,8.2,8.62,12.8,268.4,151.6,NA,"appalachian-state",2023
2,"Ryan Burger","QB",1,7,11,63.6,73,1,9.1,0,0,6.6,8.45,10.4,73,149.4,NA,"appalachian-state",2023
1,"Trenton Bourguet","QB",8,151,248,60.9,1486,1,0.4,4,1.6,6,5.35,9.8,185.8,109.3,NA,"arizona-state",2023
2,"Jaden Rashada","QB",3,44,82,53.7,485,4,4.9,3,3.7,5.9,5.24,11,161.7,112.1,NA,"arizona-state",2023
3,"Drew Pyne","QB",2,26,49,53.1,273,2,4.1,3,6.1,5.6,3.63,10.5,136.5,101.1,NA,"arizona-state",2023
4,"Cameron Skattebo","RB",12,6,15,40,130,1,6.7,1,6.7,8.7,7,21.7,10.8,121.5,NA,"arizona-state",2023
5,"Jacob Conover","QB",3,11,38,28.9,130,0,0,3,7.9,3.4,-0.13,11.8,43.3,41.9,NA,"arizona-state",2023
6,"Jalin Conyers","TE",11,5,6,83.3,20,0,0,0,0,3.3,3.33,4,1.8,111.3,NA,"arizona-state",2023
1,"Noah Fifita","QB",12,241,333,72.4,2869,25,7.5,6,1.8,8.6,9.31,11.9,239.1,165.9,NA,"arizona",2023
2,"Jayden De Laura","QB",7,89,128,69.5,1120,10,7.8,5,3.9,8.8,8.55,12.6,160,161,NA,"arizona",2023
3,"Tetairoa McMillan","WR",13,1,1,100,21,1,100,0,0,21,41,21,1.6,606.4,NA,"arizona",2023
4,"Jacob Cowing","WR",13,1,1,100,-2,0,0,0,0,-2,-2,-2,-0.2,83.2,NA,"arizona",2023
1,"Jaylen Raynor","QB",11,166,285,58.2,2550,17,6,7,2.5,8.9,9.04,15.4,231.8,148.2,NA,"arkansas-state",2023
2,"JT Shrout","QB",2,24,51,47.1,227,0,0,2,3.9,4.5,2.69,9.5,113.5,76.6,NA,"arkansas-state",2023
3,"Jaxon Dailey","QB",5,17,33,51.5,137,0,0,0,0,4.2,4.15,8.1,27.4,86.4,NA,"arkansas-state",2023
4,"Wyatt Begeal","WR",1,1,1,100,24,0,0,0,0,24,24,24,24,301.6,NA,"arkansas-state",2023
1,"K.J. Jefferson","QB",12,190,296,64.2,2107,19,6.4,8,2.7,7.1,7.19,11.1,175.6,139.8,NA,"arkansas",2023
2,"Jacolby Criswell","QB",4,17,27,63,143,3,11.1,0,0,5.3,7.52,8.4,35.8,144.1,NA,"arkansas",2023
1,"Bryson Daily","QB",11,60,120,50,913,7,5.8,6,5,7.6,6.53,15.2,83,123.2,NA,"army",2023
2,"Champ Harris","QB",6,19,35,54.3,260,0,0,4,11.4,7.4,2.29,13.7,43.3,93.8,NA,"army",2023
3,"Markel Johnson","RB",11,1,1,100,55,0,0,0,0,55,55,55,5,562,NA,"army",2023
4,"Larry Robinson","QB",2,2,6,33.3,20,0,0,1,16.7,3.3,-4.17,10,10,28,NA,"army",2023
5,"Tyson Riley","TE",12,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"army",2023
