"Rk","Player","Pos","G","Cmp","Att","Cmp.","Yds","TD","TD.","Int","Int.","Y.A","AY.A","Y.C","Y.G","Rate","Awards","Team","Year"
2,"Jacob Sirmon","QB",5,73,119,61.3,734,6,5,4,3.4,6.2,5.66,10.1,146.8,123.1,NA,"central-michigan",2021
3,"Lew Nichols","RB",13,3,3,100,41,0,0,0,0,13.7,13.67,13.7,3.2,214.8,NA,"central-michigan",2021
4,"Darius Bracy","RB",8,3,3,100,26,1,33.3,0,0,8.7,15.33,8.7,3.3,282.8,NA,"central-michigan",2021
5,"Tyler Pape","QB",1,2,2,100,12,0,0,0,0,6,6,6,12,150.4,NA,"central-michigan",2021
6,"Kalil Pimpleton","WR",13,1,2,50,4,0,0,0,0,2,2,4,0.3,66.8,NA,"central-michigan",2021
1,"Chris Reynolds","QB",11,215,337,63.8,2684,26,7.7,9,2.7,8,8.31,12.5,244,150.8,NA,"charlotte",2021
2,"James Foster","QB",5,31,56,55.4,364,1,1.8,1,1.8,6.5,6.05,11.7,72.8,112.3,NA,"charlotte",2021
1,"Desmond Ridder","QB",14,251,387,64.9,3334,30,7.8,8,2.1,8.6,9.24,13.3,238.1,158.7,"H-8","cincinnati",2021
2,"Evan Prater","QB",7,5,11,45.5,38,2,18.2,1,9.1,3.5,3,7.6,5.4,116.3,"","cincinnati",2021
3,"Jordan Jones","WR",5,1,1,100,5,1,100,0,0,5,25,5,1,472,"","cincinnati",2021
1,"D.J. Uiagalelei","QB",13,208,374,55.6,2246,9,2.4,10,2.7,6,5.28,10.8,172.8,108.7,NA,"clemson",2021
2,"Taisun Phommachanh","QB",6,11,19,57.9,131,1,5.3,1,5.3,6.9,5.58,11.9,21.8,122.7,NA,"clemson",2021
3,"Hunter Helms","QB",2,5,13,38.5,58,0,0,0,0,4.5,4.46,11.6,29,75.9,NA,"clemson",2021
4,"Billy Wiles","QB",1,2,4,50,31,1,25,0,0,7.8,12.75,15.5,31,197.6,NA,"clemson",2021
5,"Will Spiers","P",13,1,1,100,17,0,0,0,0,17,17,17,1.3,242.8,NA,"clemson",2021
6,"Will Shipley","RB",10,1,1,100,2,1,100,0,0,2,22,2,0.2,446.8,NA,"clemson",2021
1,"Grayson McCall","QB",11,176,241,73,2873,27,11.2,3,1.2,11.9,13.6,16.3,261.2,207.6,NA,"coastal-carolina",2021
2,"Bryce Carpenter","QB",11,41,69,59.4,483,4,5.8,1,1.4,7,7.51,11.8,43.9,134.5,NA,"coastal-carolina",2021
3,"Jarrett Guest","QB",6,9,10,90,96,1,10,0,0,9.6,11.6,10.7,16,203.6,NA,"coastal-carolina",2021
4,"Zachary Stevens","QB",1,1,1,100,5,1,100,0,0,5,25,5,5,472,NA,"coastal-carolina",2021
1,"Todd Centeio","QB",12,229,380,60.3,2958,15,3.9,10,2.6,7.8,7.39,12.9,246.5,133.4,NA,"colorado-state",2021
2,"Evan Olaes","QB",3,7,12,58.3,50,0,0,1,8.3,4.2,0.42,7.1,16.7,76.7,NA,"colorado-state",2021
3,"Justice McCoy","WR",12,1,2,50,12,0,0,0,0,6,6,12,1,100.4,NA,"colorado-state",2021
1,"Brendon Lewis","QB",12,149,257,58,1540,10,3.9,3,1.2,6,6.25,10.3,128.3,118.8,NA,"colorado",2021
2,"Drew Carter","QB",6,5,12,41.7,35,0,0,0,0,2.9,2.92,7,5.8,66.2,NA,"colorado",2021
1,"Steven Krajewski","QB",11,121,230,52.6,1221,7,3,10,4.3,5.3,3.96,10.1,111,98.5,NA,"connecticut",2021
2,"Jack Zergiotis","QB",3,38,86,44.2,325,3,3.5,5,5.8,3.8,1.86,8.6,108.3,75.8,NA,"connecticut",2021
3,"Tyler Phommachanh","QB",3,35,72,48.6,321,1,1.4,2,2.8,4.5,3.49,9.2,107,85.1,NA,"connecticut",2021
4,"Micah Leon","",1,10,13,76.9,62,0,0,0,0,4.8,4.77,6.2,62,117,NA,"connecticut",2021
5,"Jay Rose","TE",10,1,2,50,26,0,0,0,0,13,13,26,2.6,159.2,NA,"connecticut",2021
6,"Jacob Drena","QB",1,2,3,66.7,15,0,0,0,0,5,5,7.5,15,108.7,NA,"connecticut",2021
1,"Gunnar Holmberg","QB",11,217,324,67,2358,7,2.2,8,2.5,7.3,6.6,10.9,214.4,130.3,NA,"duke",2021
2,"Riley Leonard","QB",7,37,62,59.7,381,1,1.6,1,1.6,6.1,5.74,10.3,54.4,113.4,NA,"duke",2021
3,"Jordan Moore","QB",10,9,19,47.4,95,1,5.3,0,0,5,6.05,10.6,9.5,106.7,NA,"duke",2021
4,"Luca Diamont","QB",2,2,3,66.7,21,0,0,0,0,7,7,10.5,10.5,125.5,NA,"duke",2021
1,"Holton Ahlers","QB",12,256,414,61.8,3126,18,4.3,10,2.4,7.6,7.33,12.2,260.5,134.8,NA,"east-carolina",2021
2,"Tyler Snead","WR",12,3,5,60,102,2,40,0,0,20.4,28.4,34,8.5,363.4,NA,"east-carolina",2021
3,"Mason Garcia","QB",6,2,3,66.7,21,1,33.3,1,33.3,7,-1.33,10.5,3.5,168.8,NA,"east-carolina",2021
1,"Ben Bryant","QB",13,279,408,68.4,3121,14,3.4,7,1.7,7.6,7.56,11.2,240.1,140.5,NA,"eastern-michigan",2021
2,"Preston Hutchinson","QB",8,23,40,57.5,216,1,2.5,2,5,5.4,3.65,9.4,27,101.1,NA,"eastern-michigan",2021
3,"Samson Evans","RB",12,4,4,100,43,3,75,0,0,10.8,25.75,10.8,3.6,437.8,NA,"eastern-michigan",2021
4,"Austin Smith","QB",1,1,1,100,16,0,0,0,0,16,16,16,16,234.4,NA,"eastern-michigan",2021
