"Rk","Player","Pos","G","Cmp","Att","Cmp%","Yds","TD","TD%","Int","Int%","Y/A","AY/A","Y/C","Y/G","Rate","Awards","Team","Year"
1,"Matt Corral","QB",13,262,386,67.9,3349,20,5.2,5,1.3,8.7,9.13,12.8,257.6,155.3,"H-7","mississippi","2021"
2,"Luke Altmyer","QB",5,20,37,54.1,192,1,2.7,2,5.4,5.2,3.3,9.6,38.4,95.8,"","mississippi","2021"
3,"Dontario Drummond","WR",12,1,1,100,19,0,0,0,0,19,19,19,1.6,259.6,"","mississippi","2021"
4,"Kinkead Dent","QB",3,2,4,50,7,0,0,0,0,1.8,1.75,3.5,2.3,64.7,"","mississippi","2021"
5,"John Rhys Plumlee","QB",13,1,1,100,6,0,0,0,0,6,6,6,0.5,150.4,"","mississippi","2021"
