"Rk","Player","Pos","G","Cmp","Att","Cmp%","Yds","TD","TD%","Int","Int%","Y/A","AY/A","Y/C","Y/G","Rate","Awards","Team","Year"
1,"Bo Nix","QB",14,364,470,77.4,4508,45,9.6,3,0.6,9.6,11.22,12.4,322,188.3,"H-3","oregon","2023"
2,"Ty Thompson","QB",7,24,31,77.4,297,4,12.9,1,3.2,9.6,10.71,12.4,42.4,194,"","oregon","2023"
3,"Austin Novosad","QB",3,9,11,81.8,52,0,0,0,0,4.7,4.73,5.8,17.3,121.5,"","oregon","2023"
4,"Bucky Irving","RB",14,0,1,0,0,0,0,0,0,0,0,NA,0,0,"","oregon","2023"
5,"Ross James","P",14,0,1,0,0,0,0,1,100,0,-45,NA,0,-200,"","oregon","2023"
