"Rk","Player","Pos","G","Cmp","Att","Cmp%","Yds","TD","TD%","Int","Int%","Y/A","AY/A","Y/C","Y/G","Rate","Awards","Team","Year"
1,"Kurtis Rourke","QB",11,195,307,63.5,2207,11,3.6,5,1.6,7.2,7.17,11.3,200.6,132.5,NA,"ohio","2023"
2,"CJ Harris","QB",2,25,49,51,248,2,4.1,3,6.1,5.1,3.12,9.9,124,94.8,NA,"ohio","2023"
3,"Parker Navarro","QB",6,18,26,69.2,185,3,11.5,1,3.8,7.1,7.69,10.3,30.8,159.4,NA,"ohio","2023"
4,"Miles Cross","WR",11,1,1,100,7,0,0,0,0,7,7,7,0.6,158.8,NA,"ohio","2023"
