"Rk","Player","Pos","G","Cmp","Att","Cmp%","Yds","TD","TD%","Int","Int%","Y/A","AY/A","Y/C","Y/G","Rate","Awards","Team","Year"
1,"E.J. Warner","QB",10,256,445,57.5,3076,23,5.2,12,2.7,6.9,6.73,12,307.6,127.3,NA,"temple","2023"
2,"Quincy Patterson","QB",10,20,48,41.7,184,0,0,3,6.3,3.8,1.02,9.2,18.4,61.4,NA,"temple","2023"
3,"Forrest Brock","QB",1,7,15,46.7,60,0,0,1,6.7,4,1,8.6,60,66.9,NA,"temple","2023"
