"Rk","Player","Pos","G","Cmp","Att","Cmp%","Yds","TD","TD%","Int","Int%","Y/A","AY/A","Y/C","Y/G","Rate","Awards","Team","Year"
1,"Cade Ballard","QB",10,20,46,43.5,363,2,4.3,2,4.3,7.9,6.8,18.2,36.3,115.4,NA,"army","2022"
2,"Tyhier Tyler","QB",11,8,18,44.4,301,2,11.1,1,5.6,16.7,16.44,37.6,27.4,210.5,NA,"army","2022"
3,"Jemel Jones","QB",8,13,38,34.2,250,1,2.6,1,2.6,6.6,5.92,19.2,31.3,92.9,NA,"army","2022"
4,"Tyrell Robinson","RB",5,1,1,100,6,0,0,0,0,6,6,6,1.2,150.4,NA,"army","2022"
5,"Bryson Daily","QB",4,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"army","2022"
