"Rk","Player","Pos","G","Cmp","Att","Cmp%","Yds","TD","TD%","Int","Int%","Y/A","AY/A","Y/C","Y/G","Rate","Awards","Team","Year"
1,"Stetson Bennett","QB",15,310,454,68.3,4128,27,5.9,7,1.5,9.1,9.59,13.3,275.2,161.2,"H-4","georgia","2022"
2,"Carson Beck","QB",7,26,35,74.3,310,4,11.4,0,0,8.9,11.14,11.9,44.3,186.4,"","georgia","2022"
3,"Brock Vandagriff","QB",3,0,2,0,0,0,0,0,0,0,0,NA,0,0,"","georgia","2022"
