"Rk","Player","Pos","G","Cmp","Att","Cmp%","Yds","TD","TD%","Int","Int%","Y/A","AY/A","Y/C","Y/G","Rate","Awards","Team","Year"
1,"Max Duggan","QB",15,267,419,63.7,3698,32,7.6,8,1.9,8.8,9.49,13.9,246.5,159.2,"H-2","texas-christian","2022"
2,"Chandler Morris","QB",4,18,27,66.7,145,1,3.7,0,0,5.4,6.11,8.1,36.3,124,"","texas-christian","2022"
3,"Sam Jackson","QB",5,5,5,100,63,0,0,0,0,12.6,12.6,12.6,12.6,205.8,"","texas-christian","2022"
4,"Taye Barber","WR",15,1,1,100,18,0,0,0,0,18,18,18,1.2,251.2,"","texas-christian","2022"
5,"Josh Hoover","QB",1,1,1,100,2,0,0,0,0,2,2,2,2,116.8,"","texas-christian","2022"
