"Rk","Player","Pos","G","Cmp","Att","Cmp%","Yds","TD","TD%","Int","Int%","Y/A","AY/A","Y/C","Y/G","Rate","Awards","Team","Year"
1,"Tai Lavatai","QB",10,34,61,55.7,449,5,8.2,2,3.3,7.4,7.52,13.2,44.9,138.1,NA,"navy","2021"
2,"Xavier Arline","QB",7,7,18,38.9,142,1,5.6,0,0,7.9,9,20.3,20.3,123.5,NA,"navy","2021"
3,"Maasai Maynor","QB",3,6,13,46.2,74,0,0,0,0,5.7,5.69,12.3,24.7,94,NA,"navy","2021"
4,"Chance Warren","SB",12,1,1,100,16,0,0,0,0,16,16,16,1.3,234.4,NA,"navy","2021"
5,"Tyger Goslin","SB",12,0,1,0,0,0,0,1,100,0,-45,NA,0,-200,NA,"navy","2021"
