"Rk","Player","Pos","G","Cmp","Att","Cmp%","Yds","TD","TD%","Int","Int%","Y/A","AY/A","Y/C","Y/G","Rate","Awards","Team","Year"
1,"Carter Bradley","QB",11,221,326,67.8,2660,19,5.8,7,2.1,8.2,8.36,12,241.8,151.3,NA,"south-alabama","2023"
2,"Gio Lopez","QB",5,41,61,67.2,475,4,6.6,2,3.3,7.8,7.62,11.6,95,147.7,NA,"south-alabama","2023"
3,"Desmond Trotter","QB",5,29,41,70.7,351,5,12.2,2,4.9,8.6,8.8,12.1,70.2,173.1,NA,"south-alabama","2023"
