"Rk","Player","Pos","G","Cmp","Att","Cmp%","Yds","TD","TD%","Int","Int%","Y/A","AY/A","Y/C","Y/G","Rate","Awards","Team","Year"
1,"Kedon Slovis","QB",11,184,315,58.4,2397,10,3.2,9,2.9,7.6,6.96,13,217.9,127.1,NA,"pittsburgh","2022"
2,"Nick Patti","QB",3,29,61,47.5,304,2,3.3,1,1.6,5,4.9,10.5,101.3,96.9,NA,"pittsburgh","2022"
3,"Nate Yarnell","QB",2,10,14,71.4,195,1,7.1,0,0,13.9,15.36,19.5,97.5,212,NA,"pittsburgh","2022"
4,"Jared Wayne","WR",12,0,1,0,0,0,0,1,100,0,-45,NA,0,-200,NA,"pittsburgh","2022"
