"Rk","Player","Pos","G","Cmp","Att","Cmp%","Yds","TD","TD%","Int","Int%","Y/A","AY/A","Y/C","Y/G","Rate","Awards","Team","Year"
1,"Brady Cook","QB",13,244,369,66.1,3317,21,5.7,6,1.6,9,9.4,13.6,255.2,157.2,NA,"missouri","2023"
2,"Sam Horn","QB",3,3,6,50,54,1,16.7,1,16.7,9,4.83,18,18,147.3,NA,"missouri","2023"
3,"Luke Bauer","K",13,1,1,100,39,1,100,0,0,39,59,39,3,757.6,NA,"missouri","2023"
