"Rk","Player","Pos","G","Cmp","Att","Cmp%","Yds","TD","TD%","Int","Int%","Y/A","AY/A","Y/C","Y/G","Rate","Awards","Team","Year"
1,"Bryson Barnes","QB",11,142,242,58.7,1572,12,5,11,4.5,6.5,5.44,11.1,142.9,120.5,NA,"utah","2023"
2,"Nate Johnson","QB",8,39,72,54.2,499,3,4.2,0,0,6.9,7.76,12.8,62.4,126.1,NA,"utah","2023"
3,"Luke Bottari","QB",2,7,11,63.6,79,0,0,0,0,7.2,7.18,11.3,39.5,124,NA,"utah","2023"
4,"Devaughn Vele","WR",10,1,3,33.3,6,0,0,0,0,2,2,6,0.6,50.1,NA,"utah","2023"
