"Rk","Player","Pos","G","Cmp","Att","Cmp%","Yds","TD","TD%","Int","Int%","Y/A","AY/A","Y/C","Y/G","Rate","Awards","Team","Year"
1,"Jaxson Dart","QB",13,233,358,65.1,3364,23,6.4,5,1.4,9.4,10.05,14.4,258.8,162.4,NA,"mississippi","2023"
2,"Spencer Sanders","QB",9,19,29,65.5,278,3,10.3,0,0,9.6,11.66,14.6,30.9,180.2,NA,"mississippi","2023"
3,"Walker Howard","QB",2,3,4,75,56,0,0,0,0,14,14,18.7,28,192.6,NA,"mississippi","2023"
4,"Jordan Watkins","WR",13,1,1,100,15,0,0,0,0,15,15,15,1.2,226,NA,"mississippi","2023"
5,"Charlie Pollock","P",13,0,1,0,0,0,0,1,100,0,-45,NA,0,-200,NA,"mississippi","2023"
