"Rk","Player","Pos","G","Cmp","Att","Cmp%","Yds","TD","TD%","Int","Int%","Y/A","AY/A","Y/C","Y/G","Rate","Awards","Team","Year"
1,"Anthony Richardson","QB",12,176,327,53.8,2549,17,5.2,9,2.8,7.8,7.6,14.5,212.4,131,NA,"florida","2022"
2,"Jalen Kitna","QB",4,10,14,71.4,181,1,7.1,0,0,12.9,14.36,18.1,45.3,203.6,NA,"florida","2022"
3,"Jack Miller III","QB",1,13,22,59.1,180,0,0,0,0,8.2,8.18,13.8,180,127.8,NA,"florida","2022"
4,"Montrell Johnson","RB",13,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"florida","2022"
