"Rk","Player","Pos","G","Cmp","Att","Cmp%","Yds","TD","TD%","Int","Int%","Y/A","AY/A","Y/C","Y/G","Rate","Awards","Team","Year"
1,"Jake Lange","QB",7,79,137,57.7,843,5,3.6,6,4.4,6.2,4.91,10.7,120.4,112.6,NA,"southern-mississippi","2021"
2,"Ty Keyes","QB",4,33,65,50.8,355,3,4.6,4,6.2,5.5,3.62,10.8,88.8,99.6,NA,"southern-mississippi","2021"
3,"Trey Lowe III","QB",2,23,42,54.8,232,1,2.4,2,4.8,5.5,3.86,10.1,116,99.5,NA,"southern-mississippi","2021"
4,"Frank Gore Jr.","RB",12,10,16,62.5,189,4,25,1,6.3,11.8,14,18.9,15.8,231.7,NA,"southern-mississippi","2021"
5,"Antavious Willis","WR",12,9,11,81.8,92,1,9.1,1,9.1,8.4,6.09,10.2,7.7,163.9,NA,"southern-mississippi","2021"
6,"Tee Webb","QB",5,4,11,36.4,23,0,0,2,18.2,2.1,-6.09,5.8,4.6,17.6,NA,"southern-mississippi","2021"
7,"Chandler Pittman","WR",6,1,1,100,9,0,0,0,0,9,9,9,1.5,175.6,NA,"southern-mississippi","2021"
8,"Dajon Richard","RB",11,1,1,100,3,0,0,0,0,3,3,3,0.3,125.2,NA,"southern-mississippi","2021"
9,"Jakarius Caston","WR",12,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"southern-mississippi","2021"
10,"Jake Smithhart","QB",2,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"southern-mississippi","2021"
11,"Jason Goldstein","QB",3,0,1,0,0,0,0,1,100,0,-45,NA,0,-200,NA,"southern-mississippi","2021"
