"Rk","Player","Pos","G","Cmp","Att","Cmp%","Yds","TD","TD%","Int","Int%","Y/A","AY/A","Y/C","Y/G","Rate","Awards","Team","Year"
1,"Noah Vedral","QB",13,180,303,59.4,1823,7,2.3,7,2.3,6,5.44,10.1,140.2,112.9,NA,"rutgers","2021"
2,"Evan Simon","QB",6,16,28,57.1,145,0,0,1,3.6,5.2,3.57,9.1,24.2,93.5,NA,"rutgers","2021"
3,"Cole Snyder","QB",6,18,28,64.3,130,1,3.6,0,0,4.6,5.36,7.2,21.7,115.1,NA,"rutgers","2021"
4,"Johnny Langan","QB",13,6,9,66.7,68,1,11.1,0,0,7.6,9.78,11.3,5.2,166.8,NA,"rutgers","2021"
5,"Gavin Wimsatt","QB",4,9,21,42.9,45,0,0,2,9.5,2.1,-2.14,5,11.3,41.8,NA,"rutgers","2021"
6,"Isaiah Washington","WR",12,1,2,50,27,0,0,0,0,13.5,13.5,27,2.3,163.4,NA,"rutgers","2021"
7,"Isiah Pacheco","RB",12,1,1,100,1,0,0,0,0,1,1,1,0.1,108.4,NA,"rutgers","2021"
8,"Kyle Monangai","RB",11,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"rutgers","2021"
9,"Matt Alaimo","TE",12,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"rutgers","2021"
