"Rk","Player","Pos","G","Cmp","Att","Cmp%","Yds","TD","TD%","Int","Int%","Y/A","AY/A","Y/C","Y/G","Rate","Awards","Team","Year"
1,"Tyler Van Dyke","QB",10,202,324,62.3,2931,25,7.7,6,1.9,9,9.76,14.5,293.1,160.1,NA,"miami-fl","2021"
2,"D'Eriq King","QB",3,81,122,66.4,767,3,2.5,4,3.3,6.3,5.3,9.5,255.7,120.8,NA,"miami-fl","2021"
3,"Jake Garcia","QB",1,11,14,78.6,147,2,14.3,0,0,10.5,13.36,13.4,147,213.9,NA,"miami-fl","2021"
4,"Ryan Rizk","QB",2,1,2,50,9,0,0,0,0,4.5,4.5,9,4.5,87.8,NA,"miami-fl","2021"
