"Rk","Player","Pos","G","Cmp","Att","Cmp%","Yds","TD","TD%","Int","Int%","Y/A","AY/A","Y/C","Y/G","Rate","Awards","Team","Year"
1,"Devin Leary","QB",12,283,431,65.7,3433,35,8.1,5,1.2,8,9.07,12.1,286.1,157,NA,"north-carolina-state","2021"
2,"Ben Finley","QB",4,5,9,55.6,28,0,0,0,0,3.1,3.11,5.6,7,81.7,NA,"north-carolina-state","2021"
3,"Ricky Person Jr.","RB",12,0,1,0,0,0,0,1,100,0,-45,NA,0,-200,NA,"north-carolina-state","2021"
4,"Thayer Thomas","WR",12,0,2,0,0,0,0,0,0,0,0,NA,0,0,NA,"north-carolina-state","2021"
