"Rk","Player","Pos","G","Cmp","Att","Cmp%","Yds","TD","TD%","Int","Int%","Y/A","AY/A","Y/C","Y/G","Rate","Awards","Team","Year"
1,"Tanner Morgan","QB",13,149,250,59.6,2044,10,4,9,3.6,8.2,7.36,13.7,157.2,134.3,NA,"minnesota","2021"
2,"Cole Kramer","QB",8,3,3,100,62,2,66.7,0,0,20.7,34,20.7,7.8,493.6,NA,"minnesota","2021"
