"Rk","Player","Pos","G","Cmp","Att","Cmp%","Yds","TD","TD%","Int","Int%","Y/A","AY/A","Y/C","Y/G","Rate","Awards","Team","Year"
1,"Chevan Cordeiro","QB",13,223,362,61.6,2773,20,5.5,4,1.1,7.7,8.27,12.4,213.3,142,NA,"san-jose-state","2023"
2,"Jay Butterfield","QB",4,7,11,63.6,80,1,9.1,0,0,7.3,9.09,11.4,20,154.7,NA,"san-jose-state","2023"
3,"Nick Nash","WR",13,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"san-jose-state","2023"
