"Rk","Player","Pos","G","Cmp","Att","Cmp%","Yds","TD","TD%","Int","Int%","Y/A","AY/A","Y/C","Y/G","Rate","Awards","Team","Year"
1,"Chase Cunningham","QB",8,110,176,62.5,1318,16,9.1,3,1.7,7.5,8.54,12,164.8,152,NA,"middle-tennessee-state","2021"
2,"Nicholas Vattiato","QB",6,115,171,67.3,1047,7,4.1,6,3.5,6.1,5.36,9.1,174.5,125.2,NA,"middle-tennessee-state","2021"
3,"Bailey Hockman","QB",4,41,66,62.1,463,4,6.1,2,3,7,6.86,11.3,115.8,135,NA,"middle-tennessee-state","2021"
4,"Mike Diliello","QB",12,29,49,59.2,267,1,2,2,4.1,5.4,4.02,9.2,22.3,103.5,NA,"middle-tennessee-state","2021"
5,"JaMichael Thompson","WR",11,1,1,100,5,0,0,0,0,5,5,5,0.5,142,NA,"middle-tennessee-state","2021"
