"Rk","Player","Pos","G","Cmp","Att","Cmp%","Yds","TD","TD%","Int","Int%","Y/A","AY/A","Y/C","Y/G","Rate","Awards","Team","Year"
1,"J.J. McCarthy","QB",14,208,322,64.6,2719,22,6.8,5,1.6,8.4,9.11,13.1,194.2,155,NA,"michigan","2022"
2,"Cade McNamara","QB",3,14,25,56,180,1,4,1,4,7.2,6.2,12.9,60,121.7,NA,"michigan","2022"
3,"Davis Warren","QB",5,5,9,55.6,89,0,0,0,0,9.9,9.89,17.8,17.8,138.6,NA,"michigan","2022"
4,"Alan Bowman","QB",4,6,7,85.7,60,1,14.3,0,0,8.6,11.43,10,15,204.9,NA,"michigan","2022"
5,"Kalel Mullings","LB",12,1,1,100,15,0,0,0,0,15,15,15,1.3,226,NA,"michigan","2022"
6,"Brandon Mann","QB",1,1,1,100,7,0,0,0,0,7,7,7,7,158.8,NA,"michigan","2022"
7,"Alex Orji","QB",3,1,1,100,5,0,0,0,0,5,5,5,1.7,142,NA,"michigan","2022"
8,"Andy Maddox","QB",1,1,1,100,4,0,0,0,0,4,4,4,4,133.6,NA,"michigan","2022"
9,"Ronnie Bell","WR",14,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"michigan","2022"
10,"Donovan Edwards","RB",11,1,1,100,-1,0,0,0,0,-1,-1,-1,-0.1,91.6,NA,"michigan","2022"
