"Rk","Player","Pos","G","Cmp","Att","Cmp%","Yds","TD","TD%","Int","Int%","Y/A","AY/A","Y/C","Y/G","Rate","Awards","Team","Year"
1,"Miles Kendrick","QB",8,84,143,58.7,863,3,2.1,7,4.9,6,4.25,10.3,107.9,106.6,NA,"new-mexico","2022"
2,"Justin Holaday","QB",5,26,59,44.1,222,0,0,1,1.7,3.8,3,8.5,44.4,72.3,NA,"new-mexico","2022"
3,"CJ Montes","QB",4,27,51,52.9,174,0,0,1,2,3.4,2.53,6.4,43.5,77.7,NA,"new-mexico","2022"
4,"Trae Hall","WR",10,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"new-mexico","2022"
