"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Amechi Uzodinma II","CB","13","6","137","22.8","0","0","0","","0","137","","ball-state","2021"
"2","Jayson Jackson","WR","13","1","10","10.0","0","1","-3","-3.0","0","869","","ball-state","2021"
"3","Ryan Lezon","TE","13","1","8","8.0","0","0","0","","0","14","","ball-state","2021"
"4","Brandon Berger","LB","11","1","9","9.0","0","0","2","","0","11","","ball-state","2021"
"5","Hassan Littles","WR","11","1","21","21.0","0","2","17","8.5","0","69","","ball-state","2021"
"6","Jalen McGaughy","WR","11","5","65","13.0","0","0","0","","0","215","","ball-state","2021"
"7","Justin Hall","WR","11","11","380","34.5","1","10","120","12.0","0","1368","","ball-state","2021"
"8","Donny Marcus","RB","9","2","26","13.0","0","0","0","","0","76","","ball-state","2021"
"9","Jimmy Daw","LB","7","2","23","11.5","0","0","0","","0","23","","ball-state","2021"
"10","Nic Jones","CB","6","1","24","24.0","0","0","0","","0","24","","ball-state","2021"
