"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Beanie Bishop Jr.","CB","13","4","69","17.3","0","2","82","41.0","1","237","","west-virginia","2023"
"2","Jacolby Spells","CB","12","0","0","","0","1","-4","-4.0","0","-4","","west-virginia","2023"
"3","Jahiem White","RB","12","7","119","17.0","0","0","0","","0","1086","","west-virginia","2023"
"4","Preston Fox","WR","12","8","172","21.5","0","18","145","8.1","0","688","","west-virginia","2023"
