"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","C.J. Nelson","WR","13","1","0","0.0","0","0","0","","0","7","","houston","2022"
"2","Matt Byrnes","TE","13","3","29","9.7","0","0","0","","0","79","","houston","2022"
"3","Nathaniel Dell","WR","13","0","0","","0","9","153","17.0","1","1560","","houston","2022"
"4","Peyton Sawyer","WR","13","13","291","22.4","0","2","27","13.5","0","422","","houston","2022"
"5","Jalen Emery","DB","12","0","0","","0","1","0","0.0","0","0","","houston","2022"
"6","Jayce Rogers","DB","12","17","437","25.7","1","0","0","","0","519","","houston","2022"
"7","Ja'Kori Morgan","WR","11","1","3","3.0","0","0","0","","0","3","","houston","2022"
"8","Logan Compton","TE","11","1","11","11.0","0","0","0","","0","11","","houston","2022"
"9","Matthew Golden","WR","11","5","116","23.2","0","0","0","","0","700","","houston","2022"
"10","Bryan Henry","TE","5","1","10","10.0","0","0","0","","0","10","","houston","2022"
