"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Alante Brown","WR","12","1","11","11.0","0","0","0","","0","201","","nebraska","2022"
"2","Anthony Grant","RB","12","3","47","15.7","0","0","0","","0","1066","","nebraska","2022"
"3","Chris Kolarevic","LB","12","2","18","9.0","0","0","0","","0","18","","nebraska","2022"
"4","Trey Palmer","WR","12","3","62","20.7","0","4","36","9.0","0","1216","","nebraska","2022"
"5","Zach Weinmaster","RB","12","5","85","17.0","0","0","0","","0","85","","nebraska","2022"
"6","Tommi Hill","WR","11","12","221","18.4","0","0","0","","0","221","","nebraska","2022"
