"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Tahj Washington","WR","12","7","121","17.3","0","0","0","","0","723","","southern-california","2021"
"2","Gary Bryant Jr.","WR","10","16","413","25.8","0","11","50","4.5","0","1045","","southern-california","2021"
"3","K.D. Nixon","WR","10","3","55","18.3","0","3","21","7.0","0","111","","southern-california","2021"
"4","Quincy Jountti","RB","9","1","11","11.0","0","0","0","","0","11","","southern-california","2021"
"5","Michael Jackson III","WR","8","0","0","","0","2","5","2.5","0","121","","southern-california","2021"
"6","Kenan Christon","RB","1","1","17","17.0","0","0","0","","0","17","","southern-california","2021"
