"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Jha'Quan Jackson","WR","14","5","111","22.2","0","21","213","10.1","1","886","","tulane","2022"
"2","Keith Cooper Jr.","DL","13","4","14","3.5","0","0","0","","0","14","","tulane","2022"
"3","Kiland Harrison","DB","13","0","0","","0","1","0","0.0","0","0","","tulane","2022"
"4","Lawrence Keys III","WR","13","23","624","27.1","0","1","14","14.0","0","977","","tulane","2022"
"5","Austin Sybrandt","DE","5","1","5","5.0","0","0","0","","0","5","","tulane","2022"
