"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Daniel Bolden","LB","14","1","0","0.0","0","0","0","","0","0","","toledo","2023"
"2","Jackson Barrow","LB","14","2","1","0.5","0","0","0","","0","1","","toledo","2023"
"3","Jerjuan Newton","WR","14","9","122","13.6","0","1","4","4.0","0","824","","toledo","2023"
"4","Junior Vandeross III","WR","14","2","50","25.0","0","1","4","4.0","0","756","","toledo","2023"
"5","Nasir Bowers","CB","14","0","0","","0","1","-3","-3.0","0","-3","","toledo","2023"
"6","Jacquez Stuart","RB","12","20","582","29.1","1","0","0","","0","1299","","toledo","2023"
"7","Devin Maddox","WR","11","0","0","","0","10","78","7.8","0","222","","toledo","2023"
"8","Eric Holley","WR","11","3","72","24.0","0","0","0","","0","91","","toledo","2023"
"9","Adam Beale","WR","9","3","41","13.7","0","5","5","1.0","0","88","","toledo","2023"
"10","Julian Allen","WR","1","0","0","","0","1","17","17.0","0","17","","toledo","2023"
