"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Audric Estime","RB","13","1","29","29.0","0","0","0","","0","1084","","notre-dame","2022"
"2","Chris Tyree","RB","13","15","254","16.9","0","0","0","","0","836","","notre-dame","2022"
"3","Lorenzo Styles Jr.","WR","13","2","64","32.0","0","0","0","","0","453","","notre-dame","2022"
"4","Matt Salerno","WR","13","0","0","","0","5","37","7.4","0","99","","notre-dame","2022"
"5","Brandon Joseph","S","10","0","0","","0","18","179","9.9","0","208","","notre-dame","2022"
