"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Clint Ratkovich","RB","14","3","37","12.3","0","0","0","","0","622","","northern-illinois","2021"
"2","Messiah Travis","WR","14","4","81","20.3","0","0","0","","0","246","","northern-illinois","2021"
"3","Trayvon Rudolph","WR","14","18","451","25.1","1","1","6","6.0","0","1462","","northern-illinois","2021"
"4","Tristen Tewes","TE","14","4","24","6.0","0","0","0","","0","125","","northern-illinois","2021"
"5","Jevyon Ducker","RB","12","3","57","19.0","0","0","0","","0","1256","","northern-illinois","2021"
"6","Drew Cassens","TE","10","3","19","6.3","0","0","0","","0","19","","northern-illinois","2021"
"7","Cole Tucker","WR","9","0","0","","0","6","9","1.5","0","584","","northern-illinois","2021"
"8","Miles Joiner","TE","9","1","8","8.0","0","0","0","","0","141","","northern-illinois","2021"
"9","Tyrice Richie","WR","9","0","0","","0","4","46","11.5","0","592","","northern-illinois","2021"
"10","Mason Blakemore","RB","8","4","71","17.8","0","0","0","","0","134","","northern-illinois","2021"
