"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Bentlee Sanders","DB","13","9","169","18.8","0","6","53","8.8","0","222","","nevada","2021"
"2","Jamaal Bell","WR","13","27","628","23.3","0","1","0","0.0","0","741","","nevada","2021"
"3","Cole Turner","TE","11","1","0","0.0","0","0","0","","0","677","","nevada","2021"
"4","Crishaun Lappin","TE","11","1","11","11.0","0","0","0","","0","11","","nevada","2021"
"5","Romeo Doubs","WR","11","0","0","","0","12","170","14.2","0","1283","","nevada","2021"
"6","Zion Burns","DB","1","1","2","2.0","0","0","0","","0","2","","nevada","2021"
