"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Abe Anderson","TE","13","2","0","0.0","0","0","0","","0","0","","tulsa","2021"
"2","Anthony Watkins","RB","13","15","311","20.7","1","0","0","","0","973","","tulsa","2021"
"3","Bayne Tryon","TE","13","1","4","4.0","0","0","0","","0","4","","tulsa","2021"
"4","Cannon Montgomery","WR","13","1","7","7.0","0","0","0","","0","120","","tulsa","2021"
"5","Kamdyn Benjamin","WR","13","0","0","","0","16","56","3.5","0","56","","tulsa","2021"
"6","Kenney Solomon","CB","13","4","74","18.5","0","0","0","","0","74","","tulsa","2021"
"7","L.J. Wallace","S","13","1","0","0.0","0","0","0","","0","0","","tulsa","2021"
"8","Tyon Davis","CB","13","0","0","","0","1","0","0.0","0","0","","tulsa","2021"
"9","Tyree Carlisle","CB","13","0","0","","0","1","0","0.0","0","0","","tulsa","2021"
"10","Jordan Ford","RB","4","3","47","15.7","0","0","0","","0","50","","tulsa","2021"
"11","Keylon Stokes","WR","4","1","9","9.0","0","5","20","4.0","0","193","","tulsa","2021"
