"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Austin Upshaw","WR","12","1","18","18.0","0","0","0","","0","121","","southern-methodist","2021"
"2","Bryan Massey","S","12","20","686","34.3","2","0","0","","0","734","","southern-methodist","2021"
"3","Delano Robinson","LB","12","1","1","1.0","0","0","0","","0","9","","southern-methodist","2021"
"4","Rashee Rice","WR","12","1","10","10.0","0","0","0","","0","680","","southern-methodist","2021"
"5","Reggie Roberson Jr.","WR","12","0","0","","0","3","7","2.3","0","632","","southern-methodist","2021"
"6","Tyler Lavine","RB","12","1","10","10.0","0","0","0","","0","380","","southern-methodist","2021"
"7","Karl Taylor","DB","11","1","0","0.0","0","0","0","","0","0","","southern-methodist","2021"
"8","Ulysses Bentley IV","RB","11","5","138","27.6","0","0","0","","0","838","","southern-methodist","2021"
"9","Jordan Kerley","WR","9","5","93","18.6","0","7","61","8.7","0","351","","southern-methodist","2021"
"10","Jayleen Record","WR","7","0","0","","0","4","8","2.0","0","8","","southern-methodist","2021"
