"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Aaron Turner","WR","12","8","130","16.3","0","0","0","","0","384","","connecticut","2021"
"2","Keelan Marion","WR","12","1","16","16.0","0","10","124","12.4","0","614","","connecticut","2021"
"3","Kevin Mensah","RB","12","2","25","12.5","0","0","0","","0","394","","connecticut","2021"
"4","Brandon Niemenski","TE","11","2","18","9.0","0","0","0","","0","140","","connecticut","2021"
"5","Brian Brewton","RB","11","24","717","29.9","2","0","0","","0","774","","connecticut","2021"
"6","Tui Faumuina-Brown","LB","11","1","4","4.0","0","0","0","","0","4","","connecticut","2021"
"7","Robert Burns","RB","10","3","58","19.3","0","0","0","","0","107","","connecticut","2021"
"8","Devontae Houston","RB","9","9","157","17.4","0","0","0","","0","269","","connecticut","2021"
"9","D.J. Morgan","LB","9","1","0","0.0","0","0","0","","0","0","","connecticut","2021"
"10","Jahkai Gill","WR","7","0","0","","0","1","4","4.0","0","58","","connecticut","2021"
"11","Cameron Ross","WR","2","0","0","","0","2","22","11.0","0","82","","connecticut","2021"
