"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Joey Hobert","WR","13","1","1","1.0","0","0","0","","0","193","","washington-state","2021"
"2","Lincoln Victor","WR","13","1","17","17.0","0","0","0","","0","323","","washington-state","2021"
"3","Travell Harris","WR","13","20","424","21.2","0","14","119","8.5","0","1359","","washington-state","2021"
"4","Travion Brown","LB","12","1","-12","-12.0","0","0","0","","0","-12","","washington-state","2021"
"5","Deon McIntosh","RB","11","1","5","5.0","0","0","0","","0","645","","washington-state","2021"
