rk,player,pos,g,ret,yds,y_ret,krtd,ret_2,yds_2,y_ret_2,prtd,ap_yd,awards,Team,Year
1,Brian Branch,DB,13,0,0,,0,2,65,32.5,1,67,,alabama,2022
2,Isaiah Bond,WR,13,0,0,,0,1,34,34.0,0,254,,alabama,2022
3,Ja'Corey Brooks,WR,13,7,106,15.1,0,0,0,,0,780,,alabama,2022
4,Kool-Aid McKinstry,DB,13,0,0,,0,21,332,15.8,0,358,,alabama,2022
5,Quandarrius Robinson,LB,13,0,0,,0,1,3,3.0,0,3,,alabama,2022
6,Emmanuel Henderson,WR,12,1,8,8.0,0,0,0,,0,22,,alabama,2022
7,Jahmyr Gibbs,RB,12,13,258,19.8,0,0,0,,0,1628,,alabama,2022
8,Kendrick Law,WR,11,0,0,,0,1,-2,-2.0,0,101,,alabama,2022
1,Caleb Downs,DB,14,0,0,,0,4,87,21.8,1,110,,alabama,2023
2,Danny Lewis,TE,14,1,14,14.0,0,0,0,,0,19,,alabama,2023
3,Isaiah Bond,WR,14,0,0,,0,1,1,1.0,0,672,,alabama,2023
4,Kool-Aid McKinstry,DB,14,0,0,,0,14,86,6.1,0,86,,alabama,2023
5,Robbie Ouzts,TE,14,2,22,11.0,0,0,0,,0,55,,alabama,2023
6,Roydell Williams,RB,14,2,51,25.5,0,0,0,,0,669,,alabama,2023
7,Terrion Arnold,DB,14,1,22,22.0,0,0,0,,0,91,,alabama,2023
8,Kendrick Law,WR,13,17,405,23.8,0,0,0,,0,540,,alabama,2023
9,Ja'Corey Brooks,WR,9,1,19,19.0,0,0,0,,0,49,,alabama,2023
10,Antonio Kite,DB,7,0,0,,0,1,0,0.0,0,0,,alabama,2023
1,Malik Williams,WR,14,4,101,25.3,0,9,90,10.0,0,1023,,appalachian-state,2021
2,Thomas Hennigan,WR,14,4,110,27.5,0,14,78,5.6,0,1011,,appalachian-state,2021
3,Milan Tucker,WR,13,7,149,21.3,0,0,0,,0,172,,appalachian-state,2021
4,Jalen Virgil,WR,12,26,781,30.0,2,0,0,,0,1006,,appalachian-state,2021
1,David Larkins,TE,12,1,5,5.0,0,0,0,,0,35,,appalachian-state,2022
2,Dexter Lawson Jr.,DB,12,1,27,27.0,0,0,0,,0,28,,appalachian-state,2022
3,Milan Tucker,DB,12,22,620,28.2,1,0,0,,0,620,,appalachian-state,2022
4,Tyler Page,WR,12,0,0,,0,16,79,4.9,0,209,,appalachian-state,2022
5,Ahmani Marshall,RB,11,1,13,13.0,0,0,0,,0,440,,appalachian-state,2022
6,Kaedin Robinson,WR,11,1,10,10.0,0,0,0,,0,444,,appalachian-state,2022
1,Kaedin Robinson,WR,14,1,18,18.0,0,2,37,18.5,0,961,,appalachian-state,2023
2,Makai Jackson,WR,14,1,9,9.0,0,0,0,,0,427,,appalachian-state,2023
3,Milan Tucker,WR,14,23,547,23.8,0,0,0,,0,838,,appalachian-state,2023
4,Maquel Haywood,RB,13,2,30,15.0,0,0,0,,0,348,,appalachian-state,2023
1,Kyle Soelle,LB,13,1,1,1.0,0,0,0,,0,1,,arizona-state,2021
2,LV Bunkley-Shelton,WR,13,1,7,7.0,0,6,28,4.7,0,453,,arizona-state,2021
3,Will Shaffer,LB,13,1,-1,-1.0,0,0,0,,0,-1,,arizona-state,2021
4,D.J. Taylor,DB,12,25,525,21.0,0,14,191,13.6,0,716,,arizona-state,2021
5,Rachaad White,RB,11,1,25,25.0,0,1,36,36.0,0,1523,,arizona-state,2021
6,Tommi Hill,DB,11,4,79,19.8,0,0,0,,0,79,,arizona-state,2021
7,Geordon Porter,WR,6,2,28,14.0,0,0,0,,0,75,,arizona-state,2021
8,Justin Collins,WR,2,1,17,17.0,0,0,0,,0,17,,arizona-state,2021
1,Cam Johnson,WR,12,0,0,,0,1,9,9.0,0,93,,arizona-state,2022
2,Charles Hall,WR,11,1,16,16.0,0,0,0,,0,157,,arizona-state,2022
3,Daniyel Ngata,RB,11,18,451,25.1,0,0,0,,0,776,,arizona-state,2022
4,Javen Jacobs,WR,11,4,105,26.3,0,7,18,2.6,0,123,,arizona-state,2022
5,D.J. Taylor,DB,10,10,225,22.5,0,11,36,3.3,0,261,,arizona-state,2022
1,Melquan Stovall,WR,12,6,98,16.3,0,8,85,10.6,0,411,,arizona-state,2023
2,Ryan Morgan,TE,12,1,0,0.0,0,0,0,,0,13,,arizona-state,2023
3,Elijhah Badger,WR,11,20,578,28.9,0,0,0,,0,1342,,arizona-state,2023
4,Michael Matus,DL,9,2,11,5.5,0,0,0,,0,11,,arizona-state,2023
5,Javen Jacobs,WR,5,2,23,11.5,0,2,15,7.5,0,46,,arizona-state,2023
1,Stanley Berryhill III,WR,12,0,0,,0,18,156,8.7,0,1021,,arizona,2021
2,Michael Wiley,RB,11,5,95,19.0,0,0,0,,0,694,,arizona,2021
3,Tayvian Cunningham,WR,10,15,319,21.3,0,1,-3,-3.0,0,653,,arizona,2021
4,Jamarye Joiner,WR,8,1,10,10.0,0,0,0,,0,125,,arizona,2021
5,Bam Smith,,7,5,59,11.8,0,0,0,,0,63,,arizona,2021
6,Darrius Smith,RB,3,5,59,11.8,0,0,0,,0,63,,arizona,2021
1,Dorian Singer,WR,12,0,0,,0,3,32,10.7,0,1137,,arizona,2022
2,Jacob Cowing,WR,12,0,0,,0,7,56,8.0,0,1091,,arizona,2022
3,Anthony Simpson,WR,11,18,342,19.0,0,0,0,,0,406,,arizona,2022
4,Anthony Solomon,LB,6,1,-5,-5.0,0,0,0,,0,-5,,arizona,2022
5,Jamarye Joiner,WR,5,1,17,17.0,0,3,5,1.7,0,25,,arizona,2022
1,Gunner Maldonado,DB,13,1,0,0.0,0,0,0,,0,149,,arizona,2023
2,Jacob Cowing,WR,13,2,11,5.5,0,11,65,5.9,0,950,,arizona,2023
3,Rayshon Luke,RB,13,2,22,11.0,0,0,0,,0,270,,arizona,2023
