"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Bryson Graves","WR","13","0","0","","0","3","7","2.3","0","38","","coastal-carolina","2023"
"2","Sam Pinckney","WR","13","1","2","2.0","0","0","0","","0","1036","","coastal-carolina","2023"
"3","Tobias Fletcher","S","13","1","41","41.0","0","2","-5","-2.5","0","174","","coastal-carolina","2023"
"4","Jared Brown","WR","12","0","0","","0","6","69","11.5","0","1061","","coastal-carolina","2023"
"5","CJ Beasley","RB","11","0","0","","0","2","1","0.5","0","414","","coastal-carolina","2023"
"6","Ja'Vin Simpkins","RB","11","21","395","18.8","0","0","0","","0","527","","coastal-carolina","2023"
"7","Mason Shelton","LB","11","1","3","3.0","0","0","0","","0","-1","","coastal-carolina","2023"
"8","Reese White","RB","11","3","52","17.3","0","0","0","","0","347","","coastal-carolina","2023"
"9","Deon Fountain","WR","8","1","-4","-4.0","0","0","0","","0","2","","coastal-carolina","2023"
"10","Joah Cash","LB","7","1","4","4.0","0","0","0","","0","4","","coastal-carolina","2023"
"11","Tyson Mobley","WR","4","0","0","","0","1","-3","-3.0","0","101","","coastal-carolina","2023"
"12","Tavyn Jackson","S","2","1","-12","-12.0","0","0","0","","0","-12","","coastal-carolina","2023"
