"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Marquez Cooper","RB","14","2","48","24.0","0","0","0","","0","1348","","kent-state","2021"
"2","Nykeim Johnson","WR","14","16","346","21.6","0","12","66","5.5","0","1115","","kent-state","2021"
"3","Ja'Shaun Poke","WR","13","24","565","23.5","0","0","0","","0","920","","kent-state","2021"
"4","Aaron Hackett","TE","12","5","54","10.8","0","0","0","","0","75","","kent-state","2021"
"5","Capone Blue","CB","12","0","0","","0","1","0","0.0","0","0","","kent-state","2021"
"6","C.J. Holmes","S","12","2","42","21.0","0","0","0","","0","42","","kent-state","2021"
"7","Bryan Bradford","RB","11","4","70","17.5","0","0","0","","0","363","","kent-state","2021"
"8","Mark Williams","TE","10","2","-10","-5.0","0","0","0","","0","-10","","kent-state","2021"
"9","Daniel Bangura","RB","3","0","0","","0","1","16","16.0","0","96","","kent-state","2021"
"10","J.B. Awolowo","WR","3","0","0","","0","1","0","0.0","0","0","","kent-state","2021"
"11","Isaiah Wooden","WR","1","1","25","25.0","0","0","0","","0","25","","kent-state","2021"
