"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","CJ Dippre","TE","13","1","0","0.0","0","0","0","","0","25","","maryland","2021"
"2","Rakim Jarrett","WR","13","9","158","17.6","0","0","0","","0","989","","maryland","2021"
"3","Tarheeb Still","DB","13","0","0","","0","21","172","8.2","1","186","","maryland","2021"
"4","Marcus Fleming","WR","7","4","88","22.0","0","0","0","","0","285","","maryland","2021"
"5","Dontay Demus","WR","6","5","95","19.0","0","0","0","","0","602","","maryland","2021"
"6","Jeshaun Jones","WR","6","1","21","21.0","0","2","11","5.5","0","256","","maryland","2021"
"7","Isaiah Jacobs","RB","5","2","14","7.0","0","0","0","","0","177","","maryland","2021"
"8","TJ Kautai","LB","5","1","0","0.0","0","0","0","","0","0","","maryland","2021"
"9","Dejuan Ellis","WR","4","3","56","18.7","0","0","0","","0","56","","maryland","2021"
"10","Roman Hemby","RB","4","1","28","28.0","0","0","0","","0","100","","maryland","2021"
