"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Carlinos Acie","SB","12","1","21","21.0","0","0","0","","0","616","","navy","2021"
"2","Chance Warren","SB","12","1","19","19.0","0","13","138","10.6","0","587","","navy","2021"
"3","Mark Walker","WR","12","2","34","17.0","0","0","0","","0","97","","navy","2021"
"4","Michael McMorris","CB","12","0","0","","0","1","24","24.0","0","24","","navy","2021"
"5","Mbiti Williams","CB","10","0","0","","0","1","0","0.0","0","7","","navy","2021"
"6","Johnny Hodges","LB","9","1","12","12.0","0","0","0","","0","12","","navy","2021"
"7","Maquel Haywood","SB","8","12","372","31.0","1","0","0","","0","418","","navy","2021"
"8","Amir Hassan","SB","7","5","70","14.0","0","0","0","","0","70","","navy","2021"
"9","Daniel Jones","SB","7","5","89","17.8","0","0","0","","0","145","","navy","2021"
"10","Vincent Terrell II","SB","5","3","69","23.0","0","0","0","","0","69","","navy","2021"
