"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Jalon Calhoun","WR","13","0","0","","0","15","142","9.5","0","811","","duke","2023"
"2","Jontavis Robertson","WR","13","1","2","2.0","0","0","0","","0","38","","duke","2023"
"3","Peyton Jones","RB","13","4","88","22.0","0","0","0","","0","159","","duke","2023"
"4","Shamir Hagans","WR","13","0","0","","0","1","7","7.0","0","267","","duke","2023"
"5","Terry Moore","S","12","10","233","23.3","0","0","0","","0","244","","duke","2023"
"6","Marquise Collins","RB","2","1","15","15.0","0","0","0","","0","15","","duke","2023"
