"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Dayton Wade","WR","13","14","307","21.9","0","0","0","","0","694","","mississippi","2022"
"2","Jonathan Mingo","WR","13","0","0","","0","1","13","13.0","0","867","","mississippi","2022"
"3","Jordan Watkins","WR","13","0","0","","0","13","68","5.2","0","514","","mississippi","2022"
"4","Casey Kelly","TE","11","1","8","8.0","0","0","0","","0","25","","mississippi","2022"
"5","Cedric Johnson","DE","11","0","0","","0","1","14","14.0","0","14","","mississippi","2022"
"6","Jalen Knox","WR","10","4","51","12.8","0","0","0","","0","51","","mississippi","2022"
"7","Jaylon Robinson","WR","8","4","55","13.8","0","0","0","","0","111","","mississippi","2022"
"8","Bobo Miller","RB","6","0","0","","0","1","16","16.0","0","27","","mississippi","2022"
"9","Matt Jones","RB","4","1","18","18.0","0","0","0","","0","21","","mississippi","2022"
"10","Jonathan Hess","TE","3","1","8","8.0","0","0","0","","0","8","","mississippi","2022"
