"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","James Charles","RB","12","2","24","12.0","0","0","0","","0","275","","florida-atlantic","2021"
"2","Je'Quan Burton","WR","12","13","263","20.2","0","0","0","","0","735","","florida-atlantic","2021"
"3","LaJohntay Wester","WR","12","0","0","","0","19","129","6.8","0","860","","florida-atlantic","2021"
"4","Johnny Ford","RB","11","4","83","20.8","0","0","0","","0","1196","","florida-atlantic","2021"
"5","D'Marcus Adams","CB","10","10","236","23.6","0","0","0","","0","330","","florida-atlantic","2021"
