"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Gavin Freeman","WR","13","0","0","","0","18","122","6.8","1","237","","oklahoma","2023"
"2","Jalil Farooq","WR","13","19","422","22.2","0","0","0","","0","1211","","oklahoma","2023"
"3","Peyton Bowen","DB","13","0","0","","0","1","20","20.0","0","20","","oklahoma","2023"
"4","LV Bunkley-Shelton","WR","12","1","25","25.0","0","2","-5","-2.5","0","53","","oklahoma","2023"
"5","Marcus Stripling","DL","12","1","-5","-5.0","0","0","0","","0","-5","","oklahoma","2023"
