"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Justin Whiteside","LB","12","1","-6","-6.0","0","0","0","","0","5","","central-michigan","2022"
"2","De'Javion Stepney","DB","11","8","214","26.8","0","1","-2","-2.0","0","219","","central-michigan","2022"
"3","Irone Jackson","WR","11","12","220","18.3","0","0","0","","0","239","","central-michigan","2022"
"4","Christian Brown","RB","10","1","17","17.0","0","1","-1","-1.0","0","65","","central-michigan","2022"
"5","Sam Hicks","WR","10","7","197","28.1","0","0","0","","0","209","","central-michigan","2022"
"6","Marion Lukes","RB","8","2","33","16.5","0","0","0","","0","437","","central-michigan","2022"
"7","Jordyn Williams","WR","7","0","0","","0","15","107","7.1","0","107","","central-michigan","2022"
"8","Myles Bailey","RB","7","1","21","21.0","0","0","0","","0","280","","central-michigan","2022"
"9","Noah Koenigsknecht","WR","7","1","5","5.0","0","0","0","","0","172","","central-michigan","2022"
"10","Alec Ward","WR","4","0","0","","0","3","1","0.3","0","1","","central-michigan","2022"
"11","Jesse Prewitt III","WR","2","0","0","","0","1","-2","-2.0","0","-2","","central-michigan","2022"
