"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Chase Roberts","WR","12","1","0","0.0","0","0","0","","0","585","","brigham-young","2023"
"2","Hobbs Nyberg","WR","12","2","44","22.0","0","11","41","3.7","0","85","","brigham-young","2023"
"3","Keelan Marion","WR","12","19","393","20.7","0","0","0","","0","649","","brigham-young","2023"
"4","Parker Kingston","WR","12","6","164","27.3","0","11","51","4.6","0","426","","brigham-young","2023"
"5","Ray Paulo","TE","10","2","11","5.5","0","0","0","","0","8","","brigham-young","2023"
"6","Landon Rehkow","P","2","0","0","","0","1","0","0.0","0","0","","brigham-young","2023"
