"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","A.J. Henning","WR","14","7","177","25.3","1","29","274","9.4","0","692","","michigan","2021"
"2","Caden Kolesar","DB","14","0","0","","0","3","33","11.0","0","34","","michigan","2021"
"3","Carter Selzer","TE","14","1","3","3.0","0","0","0","","0","9","","michigan","2021"
"4","DJ Turner","DB","14","0","0","","0","1","25","25.0","0","90","","michigan","2021"
"5","Michael Barrett","LB","14","1","15","15.0","0","0","0","","0","18","","michigan","2021"
"6","Mike Sainristil","WR","14","2","27","13.5","0","0","0","","0","346","","michigan","2021"
"7","Kalel Mullings","LB","13","1","3","3.0","0","0","0","","0","3","","michigan","2021"
"8","Roman Wilson","WR","13","1","20","20.0","0","0","0","","0","499","","michigan","2021"
"9","Andrel Anthony","WR","12","1","21","21.0","0","0","0","","0","275","","michigan","2021"
"10","Blake Corum","RB","12","12","304","25.3","0","0","0","","0","1397","","michigan","2021"
"11","Matt Torey","WR","11","0","0","","0","1","1","1.0","0","1","","michigan","2021"
"12","Ronnie Bell","WR","1","0","0","","0","1","31","31.0","0","107","","michigan","2021"
