"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Aaron Willis","LB","12","1","0","0.0","0","0","0","","0","0","","houston","2023"
"2","Parker Jenkins","RB","12","8","140","17.5","0","0","0","","0","685","","houston","2023"
"3","Stacy Sneed","RB","12","9","142","15.8","0","0","0","","0","519","","houston","2023"
"4","Malik Fleming","DB","11","0","0","","0","13","93","7.2","0","147","","houston","2023"
"5","Joseph Manjack IV","WR","10","0","0","","0","1","7","7.0","0","581","","houston","2023"
"6","Matthew Golden","WR","9","9","321","35.7","2","0","0","","0","725","","houston","2023"
"7","Peyton Sawyer","WR","7","2","22","11.0","0","1","0","0.0","0","23","","houston","2023"
