"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Dennis Barnes","DB","13","22","384","17.5","0","0","0","","0","411","","texas-el-paso","2021"
"2","James Tupou","FB","13","2","2","1.0","0","0","0","","0","82","","texas-el-paso","2021"
"3","Justin Garrett","WR","13","5","103","20.6","0","25","136","5.4","0","936","","texas-el-paso","2021"
"4","Tyrin Smith","WR","13","3","64","21.3","0","0","0","","0","634","","texas-el-paso","2021"
"5","Reynaldo Flores","RB","12","0","0","","0","1","0","0.0","0","334","","texas-el-paso","2021"
"6","Jagves Garnett","OL","5","1","21","21.0","0","0","0","","0","21","","texas-el-paso","2021"
"7","Walter Dawn","WR","2","4","73","18.3","0","0","0","","0","100","","texas-el-paso","2021"
