"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Asher Alberding","TE","14","2","0","0.0","0","0","0","","0","0","","north-texas","2022"
"2","Jay Maclin","WR","14","5","83","16.6","0","0","0","","0","463","","north-texas","2022"
"3","Roderic Burns","WR","14","0","0","","0","11","49","4.5","0","728","","north-texas","2022"
"4","Grady Brewer","LB","13","1","0","0.0","0","0","0","","0","0","","north-texas","2022"
"5","Kaylon Horton","WR","13","27","699","25.9","1","0","0","","0","925","","north-texas","2022"
"6","Xzavior Kautai","TE","12","1","12","12.0","0","0","0","","0","12","","north-texas","2022"
"7","Jordan Smart","WR","11","3","46","15.3","0","0","0","","0","381","","north-texas","2022"
"8","Isaiah Johnson","RB","10","1","12","12.0","0","0","0","","0","302","","north-texas","2022"
"9","Christian Lee","TE","9","3","14","4.7","0","0","0","","0","14","","north-texas","2022"
"10","Bryson Jackson","WR","5","1","12","12.0","0","0","0","","0","32","","north-texas","2022"
