"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","A.J. Woods","DB","12","1","17","17.0","0","0","0","","0","19","","pittsburgh","2023"
"2","C'Bo Flemister","RB","12","1","6","6.0","0","0","0","","0","479","","pittsburgh","2023"
"3","Che Nwabuko","WR","12","2","21","10.5","0","0","0","","0","43","","pittsburgh","2023"
"4","Kenny Johnson","WR","12","15","347","23.1","1","0","0","","0","541","","pittsburgh","2023"
"5","Konata Mumpfield","WR","12","1","20","20.0","0","0","0","","0","611","","pittsburgh","2023"
"6","Marlin Devonshire","DB","12","0","0","","0","21","102","4.9","0","217","","pittsburgh","2023"
"7","Tamarion Crumpley","DB","12","1","1","1.0","0","0","0","","0","1","","pittsburgh","2023"
"8","Braylan Lovelace","LB","11","0","0","","0","1","4","4.0","0","8","","pittsburgh","2023"
"9","Gavin Bartholomew","TE","10","1","-1","-1.0","0","0","0","","0","325","","pittsburgh","2023"
"10","Nick Lapi","LB","10","1","8","8.0","0","0","0","","0","8","","pittsburgh","2023"
