"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Dominique Hampton","S","15","0","0","","0","1","3","3.0","0","3","","washington","2023"
"2","Jack Westover","TE","15","1","15","15.0","0","0","0","","0","449","","washington","2023"
"3","Josh Cuevas","TE","15","1","1","1.0","0","0","0","","0","165","","washington","2023"
"4","Rome Odunze","WR","15","2","17","8.5","0","2","87","43.5","1","1781","AA","washington","2023"
"5","Will Nixon","WR","15","1","20","20.0","0","0","0","","0","305","","washington","2023"
"6","Denzel Boston","WR","14","0","0","","0","5","28","5.6","0","79","","washington","2023"
"7","Germie Bernard","WR","14","10","233","23.3","0","3","43","14.3","0","738","","washington","2023"
"8","Richard Newton","RB","13","2","20","10.0","0","0","0","","0","50","","washington","2023"
"9","Jalen McMillan","WR","11","0","0","","0","5","13","2.6","0","602","","washington","2023"
"10","Daniyel Ngata","RB","10","17","397","23.4","0","0","0","","0","420","","washington","2023"
"11","Giles Jackson","WR","7","0","0","","0","3","10","3.3","0","116","","washington","2023"
