"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Bryson Nesbit","TE","14","1","43","43.0","1","0","0","","0","550","","north-carolina","2022"
"2","Elijah Green","RB","14","1","14","14.0","0","0","0","","0","679","","north-carolina","2022"
"3","Jalen Brooks","LB","14","1","7","7.0","0","0","0","","0","7","","north-carolina","2022"
"4","Randy Caldwell","LB","14","1","1","1.0","0","0","0","","0","1","","north-carolina","2022"
"5","Will Hardy","DB","14","2","50","25.0","0","0","0","","0","50","","north-carolina","2022"
"6","D.J. Jones","RB","13","1","14","14.0","0","0","0","","0","240","","north-carolina","2022"
"7","Omarion Hampton","RB","13","7","151","21.6","0","0","0","","0","592","","north-carolina","2022"
"8","Cam'Ron Kelly","DB","12","0","0","","0","5","64","12.8","0","87","","north-carolina","2022"
"9","George Pettaway","RB","11","7","221","31.6","0","1","16","16.0","0","351","","north-carolina","2022"
"10","Josh Downs","WR","11","0","0","","0","10","133","13.3","0","1162","","north-carolina","2022"
"11","Antoine Green","WR","9","1","20","20.0","0","0","0","","0","818","","north-carolina","2022"
