"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","J'Dan Burnett","DL","12","1","0","0.0","0","0","0","","0","30","","louisiana-tech","2022"
"2","Smoke Harris","WR","12","19","517","27.2","0","19","236","12.4","0","1387","","louisiana-tech","2022"
"3","Praise Okorie","WR","11","1","7","7.0","0","0","0","","0","16","","louisiana-tech","2022"
"4","Allen Walker","LB","10","1","2","2.0","0","0","0","","0","2","","louisiana-tech","2022"
"5","Cyrus Allen","WR","10","3","61","20.3","0","0","0","","0","569","","louisiana-tech","2022"
"6","Matthew McCallister","WR","7","1","12","12.0","0","0","0","","0","12","","louisiana-tech","2022"
"7","Keldric Moody","RB","6","1","12","12.0","0","0","0","","0","14","","louisiana-tech","2022"
"8","John Locke","TE","3","1","0","0.0","0","0","0","","0","0","","louisiana-tech","2022"
"9","Solomon Lewis","WR","3","4","101","25.3","0","0","0","","0","108","","louisiana-tech","2022"
"10","Devontae Mozee","DB","2","3","32","10.7","0","0","0","","0","32","","louisiana-tech","2022"
