"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Ahmarian Granger","WR","13","1","16","16.0","0","0","0","","0","246","","old-dominion","2023"
"2","Koa Naotala","LB","13","1","14","14.0","0","0","0","","0","14","","old-dominion","2023"
"3","Kris Trinidad","DE","13","1","2","2.0","0","0","0","","0","2","","old-dominion","2023"
"4","Lamareon James","CB","13","20","392","19.6","0","0","0","","0","545","","old-dominion","2023"
"5","Reymello Murphy","WR","13","0","0","","0","7","46","6.6","0","548","","old-dominion","2023"
"6","DJ Chandler","TE","11","1","1","1.0","0","0","0","","0","1","","old-dominion","2023"
"7","Isiah Paige","WR","11","1","26","26.0","0","11","79","7.2","0","542","","old-dominion","2023"
"8","Khian'dre Harris","CB","11","2","10","5.0","0","0","0","","0","10","","old-dominion","2023"
"9","Obie Sanni","RB","8","1","4","4.0","0","0","0","","0","308","","old-dominion","2023"
"10","Devin Roche","RB","5","2","38","19.0","0","0","0","","0","239","","old-dominion","2023"
