"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Ahmarian Granger","WR","12","1","18","18.0","0","0","0","","0","192","","old-dominion","2022"
"2","Alec Solano","LB","12","1","5","5.0","0","0","0","","0","5","","old-dominion","2022"
"3","Alonzo Ford","DT","12","0","0","","0","1","4","4.0","0","4","","old-dominion","2022"
"4","Isiah Paige","WR","12","0","0","","0","11","83","7.5","0","250","","old-dominion","2022"
"5","Lamareon James","CB","12","20","425","21.3","0","0","0","","0","425","","old-dominion","2022"
"6","Tobias Harris","CB","12","0","0","","0","2","36","18.0","0","36","","old-dominion","2022"
"7","Colten Hicks","S","11","1","8","8.0","0","0","0","","0","8","","old-dominion","2022"
"8","Damion Charity","DB","9","0","0","","0","1","-3","-3.0","0","-3","","old-dominion","2022"
"9","Obie Sanni","RB","9","1","18","18.0","0","0","0","","0","79","","old-dominion","2022"
"10","Marquez Bell","WR","7","1","20","20.0","0","0","0","","0","49","","old-dominion","2022"
