"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","D.J. Williams","RB","12","60","376","6.3","3","31.3","5","65","13.0","0","5.4","65","441","6.8","3","","arizona","2022"
"2","Dorian Singer","WR","12","0","0","","0","0.0","66","1105","16.7","6","92.1","66","1105","16.7","6","","arizona","2022"
"3","Jacob Cowing","WR","12","3","1","0.3","0","0.1","85","1034","12.2","7","86.2","88","1035","11.8","7","","arizona","2022"
"4","Jayden De Laura","QB","12","74","116","1.6","4","9.7","1","11","11.0","0","0.9","75","127","1.7","4","","arizona","2022"
"5","Jonah Coleman","RB","12","75","372","5.0","4","31.0","8","24","3.0","0","2.0","83","396","4.8","4","","arizona","2022"
"6","Tanner McLachlan","TE","12","0","0","","0","0.0","34","456","13.4","2","38.0","34","456","13.4","2","","arizona","2022"
"7","Tetairoa McMillan","WR","12","0","0","","0","0.0","39","702","18.0","8","58.5","39","702","18.0","8","","arizona","2022"
"8","Anthony Simpson","WR","11","2","8","4.0","0","0.7","4","56","14.0","0","5.1","6","64","10.7","0","","arizona","2022"
"9","Michael Wiley","RB","11","113","771","6.8","8","70.1","36","349","9.7","3","31.7","149","1120","7.5","11","","arizona","2022"
"10","Keyan Burnett","TE","8","0","0","","0","0.0","3","10","3.3","0","1.3","3","10","3.3","0","","arizona","2022"
"11","Rayshon Luke","RB","7","15","105","7.0","0","15.0","1","1","1.0","0","0.1","16","106","6.6","0","","arizona","2022"
"12","Jamarye Joiner","WR","5","2","3","1.5","0","0.6","0","0","","0","0.0","2","3","1.5","0","","arizona","2022"
"13","Alex Lines","TE","4","0","0","","0","0.0","1","8","8.0","0","2.0","1","8","8.0","0","","arizona","2022"
