"rk","player","pos","g","xpm","xpa","xp_percent","fgm","fga","fg_percent","pts","pnt","yds","y_p","awards","Team","Year"
"1","Max Morgan","P","14","0","0","","0","0","","0","35","1441","41.2","","liberty","2023"
"2","Nick Brown","K","13","65","66","98.5","5","10","50.0","80","0","0","","","liberty","2023"
"3","Brayden Beck","K","5","1","1","100.0","0","0","","1","0","0","","","liberty","2023"
"4","Teagen Lenderink","P","2","5","6","83.3","4","5","80.0","17","0","0","","","liberty","2023"
